broker;district;price;type;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date;is_sold;days_on_market;price_per_m2
Pedro Granado Imóveis;Gleba Ribeirão Maringá;2500000.0;Chácara;Fazenda;24200.0;;;;;;2025-08-11;;False;;103.30578512396694
Pedro Granado Imóveis;Zona 01;4300000.0;Padrão;Apartamento;252.0;;;4.0;4.0;4.0;2025-08-11;;False;;17063.492063492064
Lelo Imóveis;Jardim Santa Alice;550000.0;;Casa;301.44;-23.4081713;-51.9036812;3.0;;3.0;2025-08-11;;False;;1824.5753715498938
Lelo Imóveis;Zona 02;3380000.0;;Casa;911.0;-23.4351502;-51.9326915;4.0;;4.0;2025-08-11;;False;;3710.2085620197586
Lelo Imóveis;Vila Bosque;549000.0;;Apartamento;135.9;-23.4343528;-51.9261521;3.0;;1.0;2025-08-11;;False;;4039.735099337748
Lelo Imóveis;Jardim Novo Horizonte;890000.0;;Casa;408.0;-23.4435897;-51.935842;3.0;;8.0;2025-08-11;;False;;2181.372549019608
Pedro Granado Imóveis;Parque Residencial Tuiuti;320000.0;Casa;Casa;150.01;;;2.0;2.0;;2025-08-12;;False;;2133.1911205919605
Pedro Granado Imóveis;Jardim Tropical;320000.0;Casa;Casa;183.94;;;3.0;2.0;;2025-08-12;;False;;1739.6977275198435
Pedro Granado Imóveis;Zona 03;1241981.4;Padrão;Apartamento;94.84;;;2.0;2.0;1.0;2025-08-12;;False;;13095.544074230282
Lelo Imóveis;Jardim Santa Clara;270000.0;;Apartamento;79.0;-23.3909575;-51.9090277;;;;2025-08-12;2025-09-03;True;22.0;3417.721518987342
Lelo Imóveis;Vila Morangueira;399000.0;;Apartamento;105.0;-23.4132097;-51.9233061;2.0;;1.0;2025-08-12;2025-09-03;True;22.0;3800.0
Lelo Imóveis;Parque Das Grevileas 3A Parte;395000.0;;Casa;205.0;-23.3902889;-51.9240476;3.0;;1.0;2025-08-12;;False;;1926.8292682926829
Lelo Imóveis;Zona 06;600000.0;;Terreno;539.0;-23.4183373;-51.9588342;;;;2025-08-12;;False;;1113.1725417439702
Lelo Imóveis;Vila Marumby;340000.0;;Apartamento;94.76;-23.4455842;-51.9298915;2.0;;1.0;2025-08-12;;False;;3588.011819333052
Lelo Imóveis;Jardim Alvorada;250000.0;;Terreno;450.0;-23.4067669;-51.9144697;;;;2025-08-12;;False;;555.5555555555555
Silvio Iwata;;380000.0;;Casa;95.77;-23.4155611;-51.8834625;4.0;1.0;3.0;2025-08-12;;False;;3967.8396157460584
Pedro Granado Imóveis;Zona 07;;Padrão;Apartamento;52.57;;;2.0;2.0;1.0;2025-08-13;2025-09-03;True;21.0;
Pedro Granado Imóveis;Jardim Itália Ii;650000.0;Casa;Casa;171.83;;;3.0;2.0;1.0;2025-08-13;;False;;3782.8085898853515
Pedro Granado Imóveis;Jardim Europa;950000.0;Casa;Casa;218.04;;;3.0;3.0;1.0;2025-08-13;;False;;4356.998715831957
Pedro Granado Imóveis;Jardim Munique;990000.0;Casa;Casa;;;;3.0;4.0;3.0;2025-08-13;;False;;
Lelo Imóveis;Jardim Los Angeles;780000.0;;Casa;276.64;-23.4089412;-51.9635282;3.0;;;2025-08-13;2025-09-03;True;21.0;2819.5488721804513
Lelo Imóveis;Jardim Alvorada;270000.0;;Apartamento;79.0;-23.3909575;-51.9090277;;;;2025-08-13;;False;;3417.721518987342
Lelo Imóveis;Zona 07;479000.0;;Apartamento;151.19;-23.410759;-51.9354908;3.0;;;2025-08-13;;False;;3168.1989549573386
Lelo Imóveis;Jardim Alvorada;348000.0;;Casa;156.25;-23.4034432;-51.9114998;;;;2025-08-13;;False;;2227.2
Lelo Imóveis;Jardim Iguacu;1100000.0;;Casa;268.0;-23.446939;-51.9582457;3.0;;3.0;2025-08-13;;False;;4104.477611940299
Lelo Imóveis;Novo Centro;845000.0;;Apartamento;183.0;-23.4232553;-51.934437;4.0;;1.0;2025-08-13;;False;;4617.486338797814
Silvio Iwata;;300000.0;;Casa;103.0;-23.4616898;-51.9579511;2.0;2.0;2.0;2025-08-13;;False;;2912.621359223301
Silvio Iwata;Cidade Universitária;315000.0;;Apartamento;65.54;-23.400867;-51.9657367;3.0;1.0;1.0;2025-08-13;;False;;4806.22520598108
Silvio Iwata;Cidade Universitária;315000.0;;Apartamento;65.54;-23.400867;-51.9657367;3.0;1.0;1.0;2025-08-13;;False;;4806.22520598108
Silvio Iwata;;495000.0;;Casa;150.0;-23.3754409;-51.9455655;4.0;2.0;1.0;2025-08-13;;False;;3300.0
Silvio Iwata;Jd Ipanema;3500000.0;;Casa;380.0;-23.4543702;-51.918637;5.0;5.0;4.0;2025-08-13;;False;;9210.526315789473
Pedro Granado Imóveis;Jardim Rebouças;315000.0;Padrão;Terreno;448.5;;;;;;2025-08-14;;False;;702.3411371237459
Pedro Granado Imóveis;Parque Industrial;315000.0;Padrão;Apartamento;53.37;;;2.0;2.0;1.0;2025-08-14;;False;;5902.192242833053
Pedro Granado Imóveis;Bom Jardim;;Casa;Casa;115.2;;;3.0;2.0;1.0;2025-08-14;;False;;
Pedro Granado Imóveis;Zona 07;;Padrão;Apartamento;112.44;;;3.0;3.0;1.0;2025-08-14;2025-09-03;True;20.0;
Pedro Granado Imóveis;Zona 06;1150000.0;Sobrado;Casa;154.0;;;3.0;4.0;1.0;2025-08-14;;False;;7467.532467532467
Lelo Imóveis;Zona 07;800000.0;;Casa;600.0;-23.4102939512;-51.9424236116;3.0;;10.0;2025-08-14;;False;;1333.3333333333333
Silvio Iwata;;186000.0;;Terreno;162.0;-23.382740100000003;-51.9607755;;;;2025-08-14;;False;;1148.148148148148
