property_url;broker;district;price;type;city;state;ref;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-03/51662;Pedro Granado Imóveis;Zona 03;R$ 221.988,54;Padrão;maringa;PR;51662.0;Apartamento;51,10 m²;-23.424505;-51.9268729;1;1;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-diamante/65462;Pedro Granado Imóveis;Jardim Diamante;R$ 225.000,00;Padrão;Maringá;PR;65462.0;Terreno;300,43 m²;-23.3728578;-51.938284;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-paulista/83513;Pedro Granado Imóveis;Jardim Paulista;R$ 225.000,00;Padrão;Maringá;PR;83513.0;Terreno;300,00 m²;-23.4100449;-51.86884569999999;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/chacaras-aeroporto/78953;Pedro Granado Imóveis;Chácaras Aeroporto;R$ 225.000,00;Padrão;Maringá;PR;78953.0;Apartamento;44,00 m²;-23.4748336851259;-51.90651027301636;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-imperial/41471;Pedro Granado Imóveis;Jardim Imperial;R$ 230.000,00;Padrão;Maringá;PR;41471.0;Apartamento;45,00 m²;-23.3969496;-51.93278989999999;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-04/73022;Pedro Granado Imóveis;Zona 04;R$ 230.000,00;Padrão;Maringá;PR;73022.0;Apartamento;84,00 m²;-23.4238313;-51.9581537;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/19262;Pedro Granado Imóveis;Jardim América;R$ 230.000,00;Padrão;Maringá;PR;19262.0;Apartamento;58,00 m²;-23.4275716;-51.8876177;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-sao-miguel/89762;Pedro Granado Imóveis;Jardim São Miguel;R$ 230.000,00;Padrão;Maringá;PR;89762.0;Terreno;305,76 m²;-23.4112229;-51.9727147;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-novo-paulista/71933;Pedro Granado Imóveis;Jardim Novo Paulista;R$ 230.000,00;Casa;Maringá;PR;71933.0;Casa/Sobrado;291,80 m²;-23.4114207;-51.8607243;3;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-01/76553;Pedro Granado Imóveis;Zona 01;R$ 232.442,88;Padrão;Maringá;PR;76553.0;Apartamento;45,13 m²;-23.42295894032863;-51.93463727909851;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-aclimacao/9611;Pedro Granado Imóveis;Jardim Aclimacao;R$ 235.000,00;Padrão;Maringá;PR;9611.0;Apartamento;55,00 m²;-23.4440842;-51.91316310000002;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-marumby/24671;Pedro Granado Imóveis;Vila Marumby;R$ 235.000,00;Padrão;Maringá;PR;24671.0;Apartamento;53,25 m²;-23.4383717;-51.92506209999999;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-universo/09233;Pedro Granado Imóveis;Jardim Universo;R$ 235.000,00;Padrão;Maringá;PR;9233.0;Terreno;322,80 m²;-23.45712463389219;-51.94112777709965;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/10013;Pedro Granado Imóveis;Jardim América;R$ 239.000,00;Padrão;Maringá;PR;10013.0;Apartamento;45,86 m²;-23.4279265;-51.8869951;2;1;-;2025-04-15;
