property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;added_date
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/sobrado/jardim-canada-2-parte/11933;Pedro Granado Imóveis;Jardim Canadá 2ª Parte;R$ 1.250.000,00;Sobrado;Maringá;PR;11933.0;Casa/Sobrado;213,08 m²;-23.4056234;-51.9511188;3;4;3;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/sobrado/zona-05/22163;Pedro Granado Imóveis;Zona 05;R$ 2.300.000,00;Sobrado;Maringá;PR;22163.0;Casa/Sobrado;625,00 m²;-23.4316686;-51.9571204;5;6;5;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-04/34163;Pedro Granado Imóveis;Zona 04;Consulte-nos;Padrão;Maringá;PR;34163.0;Apartamento;180,00 m²;-23.4388402;-51.9396988;3;1;3;;;;;;;;;;;;;;;2025-02-10
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-04-maringa-com-garagem-148m2-venda-rs-390000?id=79900&ref=00852.005;Lelo Imóveis;Zona 04;R$ 390.000,00;;Maringa;PR;852.005;Apartamento;148,84m²;-23.4338724;-51.9489639;3;;1;;;;;;;;;;;;;;;2025-02-10
https://www.leloimoveis.com.br/imovel/apartamento-1-quarto-zona-07-maringa-com-garagem-52m2-venda-rs-185000?id=79900&ref=02331.001;Lelo Imóveis;Zona 07;R$ 185.000,00;;Maringa;PR;2331.001;Apartamento;52,47m²;-23.4100448;-51.9414577;1;;1;;;;;;;;;;;;;;;2025-02-10
https://www.leloimoveis.com.br/imovel/apartamento-2-quartos-zona-07-maringa-com-garagem-70m2-venda-rs-410000?id=79900&ref=79900.12170;Lelo Imóveis;Zona 07;R$ 410.000,00;;Maringa;PR;79900.1217;Apartamento;70,54m²;-23.4139072;-51.9457607;2;;1;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/alugar/maringa/apartamento/padrao/jardim-america/09653;Pedro Granado Imóveis;Jardim América;R$ 275.000,00 (V) - R$ 2.100,00 (L);Padrão;Maringá;PR;9653.0;Apartamento;55,76 m²;-23.4283497;-51.8883972;2;1;-;;;;;;;;;;;;;;;2025-02-11
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-01/6098;Pedro Granado Imóveis;Zona 01;R$ 480.000,00;Padrão;Maringá;PR;6098.0;Apartamento;92,89 m²;-23.4211492;-51.931399;3;2;1;;;;;;;;;;;;;;;2025-02-11
https://www.leloimoveis.com.br/imovel/casa-residencial-2-quartos-conj-joao-de-barro-itaparica-maringa-com-garagem-82m2-venda-rs-370000?id=79900&ref=05549.002;Lelo Imóveis;Conj Joao de Barro Itaparica;R$ 370.000,00;;Maringa;PR;5549.002;Casa;82,93m²;-23.400733;-51.882083;2;;5;;;;;;;;;;;;;;;2025-02-11
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-jardins-de-monet-residence-maringa-com-garagem-400m2-venda-rs-2500000?id=79900&ref=79900.12309;Lelo Imóveis;Jardins de Monet Residence;R$ 2.500.000,00;;Maringa;PR;79900.12309;Casa;400,00m²;-23.3620666;-52.0085711;3;;4;;;;;;;;;;;;;;;2025-02-11
