property_url;broker;district;price;type;city;state;ref;category;area;lat;long;num_bedroom;num_bathroom;num_garage
https://www.pedrogranado.com.br/comprar/maringa/terreno/comercial/jardim-italia-ii/17243;Pedro Granado Imóveis;Jardim Itália Ii;R$ 1.300.000,00;Comercial;Maringá;PR;17243;Terreno;400,53 m²;-23.45333838185123;-51.94322809325409;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/sobrado/jardim-alvorada/76643;Pedro Granado Imóveis;Jardim Alvorada;R$ 1.300.000,00;Sobrado;Maringá;PR;76643;Casa/Sobrado;506,25 m²;-23.4039386;-51.9267163;3;4;1
https://www.pedrogranado.com.br/comprar/maringa/terreno/condominio/parque-alvamar/71063;Pedro Granado Imóveis;Parque Alvamar;R$ 1.300.000,00;Condomínio;Maringá;PR;71063;Terreno;4.300,00 m²;-23.3658388;-51.8489373;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/rural/chacara/jardim-sao-domingos/17531;Pedro Granado Imóveis;Jardim São Domingos;R$ 1.320.000,00;Chácara;Maringá;PR;17531;Rural;47.832,57 m²;-23.34753313179932;-52.01434852309569;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-01/37712;Pedro Granado Imóveis;Zona 01;R$ 1.323.856,70;Padrão;Maringá;PR;37712;Apartamento;194,89 m²;-23.4240571;-51.9426816;3;3;3
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-01/92813;Pedro Granado Imóveis;Zona 01;R$ 1.330.000,00;Padrão;Maringá;PR;92813;Apartamento;193,80 m²;-23.4232477;-51.946732;3;3;1
https://www.pedrogranado.com.br/alugar/maringa/apartamento/padrao/zona-01/4283;Pedro Granado Imóveis;Zona 01;R$ 1.350.000,00 (V) - R$ 4.500,00 (L);Padrão;Maringa;PR;4283;Apartamento;215,00 m²;-23.4248686;-51.9333722;3;5;3
https://www.pedrogranado.com.br/comprar/maringa/rural/chacara/gleba-ribeirao-morangueiro/53432;Pedro Granado Imóveis;Gleba Ribeirão Morangueiro;R$ 1.350.000,00;Chácara;Maringá;PR;53432;Rural;103.289,00 m²;-23.3827104868601;-51.87718314850123;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/zona-02/16562;Pedro Granado Imóveis;Zona 02;R$ 1.350.000,00;Padrão;Maringá;PR;16562;Terreno;703,00 m²;-23.4315372;-51.9392906;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/bom-jardim/24143;Pedro Granado Imóveis;Bom Jardim;R$ 1.350.000,00;Casa;Maringá;PR;24143;Casa/Sobrado;327,31 m²;-23.40992039377936;-51.88685901501798;4;5;4
https://www.pedrogranado.com.br/comprar/maringa/predio/inteiro/zona-07/69113;Pedro Granado Imóveis;Zona 07;R$ 1.375.000,00;Inteiro;Maringá;PR;69113;Prédio;347,02 m²;-23.4100446;-51.9290651;6;8;2
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/portal-das-torres/58703;Pedro Granado Imóveis;Portal Das Torres;R$ 1.390.000,00;Casa;Maringá;PR;58703;Casa/Sobrado;1.000,00 m²;-23.3712122;-51.9351292;4;2;1
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/58841;Pedro Granado Imóveis;Zona 07;R$ 1.420.000,00;Padrão;Maringá;PR;58841;Apartamento;191,03 m²;-23.41690133857076;-51.94293729206544;3;5;3
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/novo-centro/6698;Pedro Granado Imóveis;Novo Centro;R$ 1.450.000,00;Padrão;Maringa;PR;6698;Apartamento;121,17 m²;-23.4184963;-51.93532549999998;3;2;1
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/10001;Pedro Granado Imóveis;Zona 07;R$ 1.450.000,00;Padrão;Maringá;PR;10001;Apartamento;115,09 m²;-23.4147779;-51.93587000000002;3;3;2
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/9935;Pedro Granado Imóveis;Zona 07;R$ 1.490.000,00;Padrão;Maringa;PR;9935;Apartamento;167,00 m²;-23.4173652;-51.9427466;3;5;3
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-paris/86603;Pedro Granado Imóveis;Jardim Paris;R$ 1.490.000,00;Casa;Maringá;PR;86603;Casa/Sobrado;281,38 m²;-23.3824718;-51.9570036;4;3;1
https://www.pedrogranado.com.br/comprar/maringa/predio/inteiro/zona-06/58433;Pedro Granado Imóveis;Zona 06;R$ 1.490.000,00;Inteiro;Maringá;PR;58433;Prédio;517,44 m²;-23.42460968269005;-51.96653633352079;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-03/44153;Pedro Granado Imóveis;Zona 03;R$ 1.490.000,00;Padrão;Maringá;PR;44153;Apartamento;229,97 m²;-23.429063;-51.9251811;3;4;3
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-03/90413;Pedro Granado Imóveis;Zona 03;R$ 1.494.974,27;Padrão;Maringá;PR;90413;Apartamento;229,97 m²;-23.429063;-51.9251811;3;4;3
https://www.pedrogranado.com.br/comprar/maringa/apartamento/duplex/zona-06/66161;Pedro Granado Imóveis;Zona 06;R$ 1.500.000,00;Duplex;Maringá;PR;66161;Apartamento;195,60 m²;-23.4145923;-51.94744539999999;3;4;3
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/sobrado/cidade-jardim/31532;Pedro Granado Imóveis;Cidade Jardim;R$ 1.500.000,00;Sobrado;Maringá;PR;31532;Casa/Sobrado;250,00 m²;-23.3966109;-51.9418618;3;4;1
https://www.pedrogranado.com.br/comprar/maringa/comercial/ponto-comercial/parque-residencial-tuiuti/14972;Pedro Granado Imóveis;Parque Residencial Tuiuti;R$ 1.500.000,00;Ponto Comercial;Maringá;PR;14972;Comercial;331,43 m²;-23.4131424;-51.9030381;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/terreno/comercial/jardim-colina-verde/30233;Pedro Granado Imóveis;Jardim Colina Verde;R$ 1.500.000,00;Comercial;Maringá;PR;30233;Terreno;1.312,80 m²;-23.40135736293112;-51.87709599062236;-;-;-
