property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;sold_date
https://www.silvioiwata.com.br/imovel/3620004575/casa-a-venda/maringa-pr-jd-munique ;Silvio Iwata;;R$ 600.000,00;;Maringá;PR;;Casa;125,00 m²;-23.3735556;-51.9645718;3.0;2.0;2;;;;;;;;;;;;;;;2025-02-10
https://www.silvioiwata.com.br/imovel/3620004803/barracao-a-venda/maringa-pr-zona-07 ;Silvio Iwata;;R$ 2.200.000,00;;Maringá;PR;;Barracão;488,54 m²;-23.4135643;-51.9265573;;3.0;6;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/09653;Pedro Granado Imóveis;Jardim América;R$ 275.000,00;Padrão;Maringá;PR;9653.0;Apartamento;55,76 m²;-23.4283497;-51.8883972;2;1.0;-;;;;;;;;;;;;;;;2025-02-11
https://www.pedrogranado.com.br/alugar/maringa/apartamento/padrao/zona-01/6098;Pedro Granado Imóveis;Zona 01;R$ 480.000,00 (V) - R$ 1.800,00 (L);Padrão;Maringá;PR;6098.0;Apartamento;92,89 m²;-23.4211492;-51.931399;3;2.0;1;;;;;;;;;;;;;;;2025-02-11
https://www.leloimoveis.com.br/imovel/casa-residencial-2-quartos-conj-joao-de-barro-itaparica-maringa-com-garagem-82m2-venda-locacao-rs-370000-rs-1300?id=79900&ref=05549.002;Lelo Imóveis;Conj Joao de Barro Itaparica;R$ 370.000,00;;Maringa;PR;5549.002;Casa;82,93m²;-23.400733;-51.882083;2;;5;;;;;;;;;;;;;;;2025-02-11
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-jardins-de-monet-residence-maringa-com-garagem-400m2-venda-rs-2390000?id=79900&ref=79900.12309;Lelo Imóveis;Jardins de Monet Residence;R$ 2.390.000,00;;Maringa;PR;79900.12309;Casa;400,00m²;-23.3620666;-52.0085711;3;;4;;;;;;;;;;;;;;;2025-02-11
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-jardim-liberdade-iii-maringa-com-garagem-185m2-venda-rs-590000?id=79900&ref=79900.9479;Lelo Imóveis;Jardim Liberdade III;R$ 590.000,00;;Maringa;PR;79900.9479;Casa;185,55m²;-23.4153749;-51.8911228;3;;3;;;;;;;;;;;;;;;2025-02-11
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-135m2-venda-rs-280000?id=79900&ref=79900.12040;Lelo Imóveis;Zona 07;R$ 280.000,00;;Maringa;PR;79900.1204;Apartamento;135,24m²;-23.4096624;-51.9432293;3;;;;;;;;;;;;;;;;;2025-02-11
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-jardim-alvorada-maringa-com-garagem-155m2-venda-rs-1360000?id=79900&ref=79900.8357;Lelo Imóveis;Jardim Alvorada;R$ 1.360.000,00;;Maringa;PR;79900.8357;Casa;155,00m²;-23.4029;-51.9282184;3;;3;;;;;;;;;;;;;;;2025-02-11
https://www.silvioiwata.com.br/imovel/3620005106/casa-a-venda/maringa-pr-jd-alvorada ;Silvio Iwata;;R$ 220.000,00;;Maringá;PR;;Casa;73,14 m²;-23.3991672;-51.9136924;3;1.0;1;;;;;;;;;;;;;;;2025-02-11
https://www.silvioiwata.com.br/imovel/3620005053/apartamento-a-venda/maringa-pr-jd-america ;Silvio Iwata;Jd América;R$ 255.000,00;;Maringá;PR;;Apartamento;44,61 m²;-23.4275669;-51.8876191;2;1.0;1;;;;;;;;;;;;;;;2025-02-11
https://www.silvioiwata.com.br/imovel/3620005177/casa-a-venda/maringa-pr-pq-das-grevileas ;Silvio Iwata;;R$ 325.000,00;;Maringá;PR;;Casa;97,55 m²;-23.3821292;-51.9317578;3.0;2.0;1;;;;;;;;;;;;;;;2025-02-11
https://www.silvioiwata.com.br/imovel/3620005071/casa-a-venda/maringa-pr-vl-morangueira ;Silvio Iwata;;R$ 450.000,00;;Maringá;PR;;Casa;63,00 m²;-23.4098768;-51.9206993;3;1.0;2;;;;;;;;;;;;;;;2025-02-11
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-emilia/49133;Pedro Granado Imóveis;Vila Emília;R$ 190.000,00;Padrão;Maringá;PR;49133.0;Apartamento;41,44 m²;-23.4487118;-51.9333038;2;1.0;-;;;;;;;;;;;;;;;2025-02-13
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/06053;Pedro Granado Imóveis;Zona 07;R$ 439.000,00;Padrão;Maringá;PR;6053.0;Apartamento;66,44 m²;-23.4161776;-51.9299024;2;2.0;1;;;;;;;;;;;;;;;2025-02-13
https://www.pedrogranado.com.br/alugar/maringa/casasobrado/casa/jardim-tres-lagoas/70742;Pedro Granado Imóveis;Jardim Três Lagoas;R$ 495.000,00 (V) - R$ 2.700,00 (L);Casa;Maringá;PR;70742.0;Casa/Sobrado;102,41 m²;-23.3858341;-51.9736634;3;2.0;1;;;;;;;;;;;;;;;2025-02-13
https://www.pedrogranado.com.br/alugar/maringa/comercial/casa-comercial/zona-08/85643;Pedro Granado Imóveis;Zona 08;R$ 990.000,00 (V) - R$ 2.900,00 (L);Casa Comercial;Maringá;PR;85643.0;Comercial;600,00 m²;-23.4288574;-51.9129812;-;3.0;-;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/casa-residencial-jardim-alvorada-iii-maringa-165m2-venda-rs-415000?id=79900&ref=79900.12712;Lelo Imóveis;Jardim Alvorada III;R$ 415.000,00;;Maringa;PR;79900.12712;Casa;165,00m²;-23.3857172;-51.9106386;;;;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/terreno-jardim-monte-rei-maringa-300m2-venda-rs-345000?id=79900&ref=79900.12711;Lelo Imóveis;Jardim Monte Rei;R$ 345.000,00;;Maringa;PR;79900.12711;Terreno;300,00m²;-23.3789606;-51.9559311;;;;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-2-quartos-jardim-tropical-maringa-com-garagem-78m2-venda-rs-280000?id=79900&ref=79900.12677;Lelo Imóveis;Jardim Tropical;R$ 280.000,00;;Maringa;PR;79900.12677;Apartamento;78,19m²;-23.3959679;-51.9620082;2;;1;;;;;;;;;;;;;;;2025-02-13
